,F1,aps,context,expID,method,samples,system,thres,wo_length
279,0.13519091847265222,0.09281244906191999,supervised,46,invite,56,aircraft,0.009993927926210464,5
280,0.1350449293966624,,unsupervised,46,invite,56,aircraft,0.009365399931732849,5
281,0.12299465240641712,,pathfinder,46,invite,56,aircraft,,5
282,0.7200000000000001,0.4500613275613276,supervised,47,cosine,56,bicycle,0.933203959826524,5
283,0.47619047619047616,,unsupervised,47,cosine,56,bicycle,0.7373737373737372,5
284,0.8888888888888888,,pathfinder,47,cosine,56,bicycle,,5
285,1.0,1.0000000000000002,supervised,47,invite,56,bicycle,0.2242881772784797,5
286,1.0,,unsupervised,47,invite,56,bicycle,0.0202020202020202,5
287,0.8888888888888888,,pathfinder,47,invite,56,bicycle,,5
288,0.6881720430107526,0.44446738968779526,supervised,48,cosine,99,drivetrain,0.5278917737288982,2
289,0.631578947368421,,unsupervised,48,cosine,99,drivetrain,0.09722222222222221,2
290,0.8888888888888888,,pathfinder,48,cosine,99,drivetrain,,2
291,0.25641025641025644,0.19803108978486372,supervised,48,invite,99,drivetrain,0.08787924509197582,2
292,0.0,,unsupervised,48,invite,99,drivetrain,0.6083333333333334,2
293,0.2222222222222222,,pathfinder,48,invite,99,drivetrain,,2
294,0.0965481443031404,0.04687068775268083,supervised,49,cosine,99,aircraft,0.5000000000000001,2
295,0.09261515963928832,,unsupervised,49,cosine,99,aircraft,0.11786039367391056,2
296,0.17987152034261242,,pathfinder,49,cosine,99,aircraft,,2
297,0.04919446840479702,0.024728521179956883,supervised,49,invite,99,aircraft,0.0009095470311451339,2
298,0.0,,unsupervised,49,invite,99,aircraft,0.5570955171236773,2
299,0.008021390374331552,,pathfinder,49,invite,99,aircraft,,2
300,0.8,0.48255217005217005,supervised,50,cosine,99,bicycle,0.4370065551474912,2
301,0.7407407407407407,,unsupervised,50,cosine,99,bicycle,0.18181818181818185,2
302,0.8888888888888888,,pathfinder,50,cosine,99,bicycle,,2
303,0.37037037037037035,0.22713540879964456,supervised,50,invite,99,bicycle,0.05528564253409021,2
304,0.0,,unsupervised,50,invite,99,bicycle,0.30303030303030304,2
305,0.3333333333333333,,pathfinder,50,invite,99,bicycle,,2
306,0.6846846846846846,0.4277234242447898,supervised,51,cosine,99,drivetrain,0.7226357911690424,3
307,0.4097560975609756,,unsupervised,51,cosine,99,drivetrain,0.14166666666666666,3
308,0.7222222222222222,,pathfinder,51,cosine,99,drivetrain,,3
309,0.8674698795180722,0.9230129810844467,supervised,51,invite,99,drivetrain,0.04411956376459836,3
310,0.8505747126436781,,unsupervised,51,invite,99,drivetrain,0.02777777777777778,3
311,0.8888888888888888,,pathfinder,51,invite,99,drivetrain,,3
312,0.17394495412844035,0.0667956517104564,supervised,52,cosine,99,aircraft,0.09128709291752767,3
313,0.17353262850893178,,unsupervised,52,cosine,99,aircraft,0.018147684605757195,3
314,0.1731123388581952,,pathfinder,52,cosine,99,aircraft,,3
315,0.0968783638320775,0.08014489131972216,supervised,52,invite,99,aircraft,0.00935387442348096,3
316,0.09651474530831099,,unsupervised,52,invite,99,aircraft,0.00819916941631585,3
317,0.12566844919786097,,pathfinder,52,invite,99,aircraft,,3
318,0.6923076923076923,0.4200409312909313,supervised,53,cosine,99,bicycle,0.7039304474545867,3
319,0.5405405405405406,,unsupervised,53,cosine,99,bicycle,0.2828282828282828,3
320,0.8888888888888888,,pathfinder,53,cosine,99,bicycle,,3
321,1.0,1.0000000000000002,supervised,53,invite,99,bicycle,0.0881426018390661,3
322,1.0,,unsupervised,53,invite,99,bicycle,0.020202020202020204,3
323,0.8888888888888888,,pathfinder,53,invite,99,bicycle,,3
324,0.6504065040650406,0.38006019400967,supervised,54,cosine,99,drivetrain,0.8052973184755897,4
325,0.3320158102766798,,unsupervised,54,cosine,99,drivetrain,0.10833333333333332,4
326,0.6666666666666666,,pathfinder,54,cosine,99,drivetrain,,4
327,1.0,1.0,supervised,54,invite,99,drivetrain,0.07286945994572054,4
328,0.988235294117647,,unsupervised,54,invite,99,drivetrain,0.01111111111111111,4
329,1.0,,pathfinder,54,invite,99,drivetrain,,4
330,0.2854872881355932,0.1142663668302962,supervised,55,cosine,99,aircraft,0.039528470752104736,4
331,0.28398314014752374,,unsupervised,55,cosine,99,aircraft,0.014769882808055523,4
332,0.11544991511035654,,pathfinder,55,cosine,99,aircraft,,4
333,0.17411284146030126,0.12486490439972019,supervised,55,invite,99,aircraft,0.009939212737291772,4
334,0.1734045258072718,,unsupervised,55,invite,99,aircraft,0.009735180339060187,4
335,0.17379679144385027,,pathfinder,55,invite,99,aircraft,,4
336,0.6666666666666666,0.418968652120826,supervised,56,cosine,99,bicycle,0.8665191278622596,4
337,0.5000000000000001,,unsupervised,56,cosine,99,bicycle,0.7878787878787878,4
338,1.0,,pathfinder,56,cosine,99,bicycle,,4
339,1.0,1.0000000000000002,supervised,56,invite,99,bicycle,0.17803756293157644,4
340,1.0,,unsupervised,56,invite,99,bicycle,0.020202020202020204,4
341,0.8888888888888888,,pathfinder,56,invite,99,bicycle,,4
342,0.583941605839416,0.34529258426326487,supervised,57,cosine,99,drivetrain,0.8421761421357206,5
343,0.2947368421052632,,unsupervised,57,cosine,99,drivetrain,0.06388888888888888,5
344,0.7222222222222222,,pathfinder,57,cosine,99,drivetrain,,5
345,1.0,1.0,supervised,57,invite,99,drivetrain,0.07425396458514016,5
346,0.9545454545454545,,unsupervised,57,invite,99,drivetrain,0.01111111111111111,5
347,0.9444444444444444,,pathfinder,57,invite,99,drivetrain,,5
348,0.3554922121551461,0.1669781969370276,supervised,58,cosine,99,aircraft,0.0545544725589981,5
